"","avgRed","avgGreen","avgBlue","name"
"1",167.775555555556,130.036,61.7861333333333,"cat"
"2",78.8372444444445,68.3543555555556,68.0034222222222,"cat"
"3",117.542533333333,111.9056,96.9203111111111,"cat"
"4",108.054088888889,111.458044444444,110.484488888889,"cat"
"5",103.713555555556,101.733111111111,98.1773333333333,"cat"
"6",168.946177777778,171.837644444444,120.216622222222,"cat"
"7",107.893466666667,87.4867111111111,71.6324888888889,"cat"
"8",82.9759555555556,77.8447555555556,68.5167111111111,"cat"
"9",117.961466666667,115.963511111111,109.531288888889,"cat"
"10",111.604311111111,118.527955555556,113.331377777778,"cat"
"11",169.636044444444,74.3616444444445,57.3697333333333,"cat"
"12",107.041333333333,101.453377777778,91.7140444444444,"cat"
"13",137.209111111111,127.991377777778,129.844266666667,"cat"
"14",158.609111111111,148.152,135.945555555556,"cat"
"15",165.774311111111,159.926088888889,144.2404,"cat"
"16",101.1464,95.4956444444445,94.1048888888889,"cat"
"17",160.586488888889,169.156888888889,169.054711111111,"cat"
"18",143.340355555556,124.179377777778,120.778622222222,"cat"
"19",104.868933333333,87.3733777777778,77.7347111111111,"cat"
"20",111.357422222222,109.864888888889,107.206844444444,"cat"
"21",166.124844444444,155.084444444444,154.913422222222,"cat"
"22",129.472488888889,101.7012,118.894888888889,"dog"
"23",150.000755555556,139.099644444444,111.57,"dog"
"24",164.970177777778,158.028755555556,149.241777777778,"dog"
"25",116.622755555556,115.772577777778,82.6698222222222,"dog"
"26",146.888088888889,114.285422222222,97.8578666666667,"dog"
"27",123.453466666667,104.090622222222,101.6552,"dog"
"28",143.705466666667,135.018977777778,129.398888888889,"dog"
"29",123.944666666667,116.417911111111,116.501333333333,"dog"
"30",108.385822222222,110.820488888889,93.5282666666667,"dog"
"31",146.667911111111,128.221377777778,134.830577777778,"dog"
"32",74.9132888888889,59.8134666666667,59.3215111111111,"dog"
"33",68.3340888888889,59.6144444444444,50.8943555555556,"dog"
"34",152.110888888889,143.415422222222,133.772888888889,"dog"
"35",163.676088888889,167.840622222222,132.821111111111,"dog"
"36",130.845911111111,131.813555555556,125.910977777778,"dog"
"37",129.036222222222,119.375466666667,105.582755555556,"dog"
"38",110.484933333333,109.806222222222,81.8808,"dog"
"39",138.273333333333,120.446133333333,95.9946222222222,"dog"
"40",125.492533333333,118.8128,110.295777777778,"dog"
"41",111.900933333333,114.264844444444,107.047644444444,"dog"
"42",138.479422222222,138.591288888889,123.275733333333,"dog"
